locus,sgRNA_target,gene_name,Ala,Arg,Asn,Ctr,Cys,Gln,Glu,Gly,Leu,Phe,Thr,Val
sll1746,rpl12,rplL rpl12 sll1746,-1.7672586799100038,-1.8235728272884046,-1.6804189642043608,-1.963041938327696,-2.0618993527985627,-2.3749021311517624,-1.7252548649403454,-1.8923602385660325,-1.8014052359427657,-0.4224911531058182,-2.218865278010268,-2.3577407861261888
sll1821,rpl13,rplM rpl13 sll1821,-0.4399624306386788,-0.6560591606509285,-0.6755962184155923,-0.6449841987676969,-1.058763279450847,-1.0694262128420113,-0.7127722509520814,-0.5715341778435208,-0.6889797510332277,-1.656988874283817,-0.5135846052414191,-1.1359833913231556
sll1806,rpl14,rplN rpl14 sll1806,-0.6577680038979244,-0.353102388936139,-0.26417541367546277,-0.42282360399537267,-0.386271847759862,-1.058025785957183,-0.5150660356134088,-0.6007960510887794,-0.6213629212721533,-0.7899033409196017,-0.2934481363895583,-0.8299781252367624
sll1813,rpl15,rplO rpl15 sll1813,-1.7610070170661876,-1.8504112665141577,-1.2938570412499435,-2.1024335481626855,-2.0471130648376366,-2.110899616355209,-2.2561924492605723,-1.6227994124713085,-1.857283960357914,-0.750559089609725,-2.233867741670703,-2.6540943249031983
sll1805,rpl16,rplP rpl16 sll1805,-1.5464901836201026,-1.8125264188485628,-0.9840797552372781,-2.0217619325019878,-1.227383517264542,-2.158195953257795,-1.9457302467720887,-1.5034566880072116,-1.4871823925382472,-2.3928300532319806,-1.5492966673810995,-2.2713151553317212
sll1819,rpl17,rplQ rpl17 sll1819,-1.0410585876520826,-0.835740820607029,-0.8276786644570256,-0.4583987296191264,-0.8582005317422092,-1.2349469620107718,-1.497675825065638,-0.31869529624138715,-0.9924319841201479,-2.8346314981293936,-0.806957621672171,-1.6775732802408367
sll1811,rpl18,rplR rpl18 sll1811,-0.7855254251137822,-0.3028298116519758,0.24624701807581942,-0.42966707030678786,-0.4299346116318106,-0.9295967458986018,-0.31294210215972046,-0.484656245565073,-0.8716717037690477,-0.9714805971791632,-0.3256359014061663,-0.48758026859016523
sll1740,rpl19,rplS rpl19 sll1740,-2.1986685119382816,-2.0946052415609206,-1.6408931190196856,-2.582794037044606,-2.2462394882218857,-2.550565032118793,-2.2422964377849435,-2.2382366158978724,-2.3630512482010597,-1.55984383043416,-1.8675822128282393,-2.458674596746693
sll1802,rpl2,rplB rpl2 sll1802,-1.741817205243912,-2.1337751425674876,-1.3115056805851193,-1.534344988741897,-1.9164172432589603,-2.127077813954651,-1.4027512976730858,-1.578502891278376,-1.5673716316091697,-1.4033119155407086,-1.4564086138394086,-1.785059182176346
sll0767,rpl20,rplT rpl20 sll0767,-0.5158328887226629,-0.44498545038065357,-0.582587676015923,-0.5578734211597334,-0.682447310029804,-0.6339181975712477,-0.49107647892669204,-0.699801983070892,-0.5705175879024197,-2.9155159091648426,-0.5059308956676413,-0.8604861597122114
slr1678,rpl21,rplU rpl21 slr1678,-0.7600584706373155,-0.7936280608397085,-0.2594040463148991,-0.6598032927751124,0.23317757854901633,-0.5448360716495527,-0.4230954763677961,1.0773600406534718,-0.5403728131563923,-0.9715322765462884,-0.5257503904669513,0.8457984774463944
sll1803,rpl22,rplV rpl22 sll1803,-0.37408945750865513,-0.7831018514462499,-0.4563231777406253,-0.7184417354715237,-0.3258223434276982,-0.5137188722346675,-0.6432640912897917,-0.6039059837373352,-0.38082763509015694,-0.4065054340819517,-0.636478425717903,-0.4413362230956916
sll1801,rpl23,rplW rpl23 sll1801,-1.1004203018467014,-1.2585556171589758,-1.0942324764944096,-1.076587467941759,-1.2795999689552233,-1.3628938377632098,-0.8936564444527363,-1.3177738020988334,-0.8532757506832155,-0.8706464522873563,-0.7052668346279081,-1.5749341353382593
sll1807,rpl24,rplX rpl24 sll1807,-0.9074199887801494,-1.5467150850315126,-1.2299824956853396,-1.4980306658010099,-1.2067099036009008,-2.3738450563815903,-1.7348716920438443,-0.7656630867740438,-0.8878940107428887,-1.941510115677153,-1.2843019077377755,-2.104540872524019
ssr2799,rpl27,rpmA rpl27 ssr2799,-0.34965319875073125,-0.4571622371975753,-0.18383665319011283,-0.3964271669499889,-0.2461742438276348,-0.8260524257991847,-0.24070875504380765,-1.0953450891241505,-0.6096381009690874,-0.4136812948019526,-0.43981316034738027,-0.9034880132898818
ssr1604,rpl28,rpmB rpl28 ssr1604,-1.0165476912752156,-0.49170321501428865,-0.12533991472815995,-0.42646076022382856,-1.1521831998748262,-0.8661649486592832,-0.2854869529710357,-1.117702492853455,-1.032069964862991,-0.020171799961517158,-0.2518692677978073,-0.7643964018466066
ssl3436,rpl29,rpmC rpl29 ssl3436,-0.44076883592513966,-0.7191434360901173,-0.24129762353228185,-0.8517500851248089,-1.6751552825878895,-1.0515454077235538,-1.5321537876734115,-0.5453679120098335,-0.7753175100634757,-1.5440094003832812,-0.3797945700347926,-1.2564777939937337
sll1799,rpl3,rplC rpl3 sll1799,-1.063751278526294,-1.2945841179596622,-0.4166180571974423,-0.40031422863858834,-0.8018409669808051,-2.029557378245604,-1.3518422477140275,-0.7918107913550279,-0.8749737173400948,-2.1967905829957073,-1.0123324291903328,-1.7808813024208272
ssl3445,rpl31,rpmE rpl31 ssl3445,-1.2246723319947983,-1.5166434488603326,-1.20007034700853,-1.2624940754420844,-1.060387267975678,-1.8358801248767416,-1.0784771221084346,-1.0137143544180072,-1.1654833197212398,-1.853137940726495,-1.4150745411380348,-1.808383634746532
ssr1398,rpl33,rpmG rpl33 ssr1398,-1.121173674783168,-1.3442282853747538,-0.9042239423904699,-1.1914690185178927,-1.3600303426707288,-1.6707408787131175,-1.2994456173632347,-1.2453262811710188,-1.3473872581704434,-1.6377008968158733,-1.0590634210642451,-1.570045049205405
smr0011,rpl34,rpmH rpl34 smr0011,-0.7571782979045695,-0.8434760368794918,-0.5768001817508349,-1.0490686969746756,-1.0261319752595923,-1.4040266689538252,-0.8131178106344356,-0.986427342679023,-1.032210968842037,-0.48508972148756657,-0.6746392038284748,-1.2125527572565746
